addr,name,unit,confidence,name_source
0x001074F0,cdfile_001074F0,cdfile.c,reached,generated
0x00107570,cdfile_00107570,cdfile.c,reached,generated
0x00107578,cdfile_00107578,cdfile.c,reached,generated
0x001075B8,cdfile_001075B8,cdfile.c,reached,generated
0x00107680,cdfile_00107680,cdfile.c,reached,generated
0x00107760,cdfile_00107760,cdfile.c,reached,generated
0x00107920,cdfileReadStart,cdfile.c,reached,trace_string
0x00107A18,cdfile_00107A18,cdfile.c,reached,generated
0x00107A30,cdfile_00107A30,cdfile.c,reached,generated
0x00107CA0,cdfile_00107CA0,cdfile.c,reached,generated
0x00107D08,func_00107D08,,reached,generated
0x00107D30,cddir_00107D30,cddir.c,reached,generated
0x00107D88,CD_MakeFileTable,cddir.c,reached,trace_string
0x00107FA0,cddir_00107FA0,cddir.c,reached,generated
0x00108228,cddir_00108228,cddir.c,reached,generated
0x00108448,sceCdSearchFile,cddir.c,reached,trace_string
0x00108500,cddir_00108500,cddir.c,reached,generated
0x00108588,cddir_00108588,cddir.c,reached,generated
0x001085D0,CD_Test,cddir.c,unreferenced,trace_string
0x001087F0,pcfile_001087F0,pcfile.c,reached,generated
0x00108838,func_00108838,pcfile.c,reached,generated
0x00108840,pcfile_00108840,pcfile.c,reached,generated
0x001088D0,pcfileLoad,pcfile.c,reached,trace_string
0x00108B28,pcfile_00108B28,pcfile.c,reached,generated
0x00108BF0,pcfile_00108BF0,pcfile.c,reached,generated
0x00108C08,sceClose,pcfile.c,reached,trace_string
0x00108DB0,func_00108DB0,,reached,generated
0x00108DD0,func_00108DD0,,reached,generated
0x00108E08,func_00108E08,,reached,generated
0x00108E58,hig_00108E58,hig.c,reached,generated
0x001090A8,hig_001090A8,hig.c,reached,generated
0x001090D0,hig_001090D0,hig.c,reached,generated
0x001090F8,hig_001090F8,hig.c,reached,generated
0x00109118,hig_00109118,hig.c,reached,generated
0x00109130,hig_00109130,hig.c,reached,generated
0x00109148,hig_00109148,hig.c,reached,generated
0x00109168,hig_00109168,hig.c,reached,generated
0x00109170,hig_00109170,hig.c,reached,generated
0x00109178,hig_00109178,hig.c,reached,generated
0x00109198,hig_00109198,hig.c,unreferenced,generated
0x001091B8,hig_001091B8,hig.c,unreferenced,generated
0x001091E0,hig_001091E0,hig.c,unreferenced,generated
0x00109200,func_00109200,,reached,generated
0x00109258,func_00109258,,reached,generated
0x00109278,func_00109278,,reached,generated
0x001092B8,func_001092B8,,reached,generated
0x00109330,func_00109330,,reached,generated
0x001093E0,func_001093E0,,reached,generated
0x00109430,func_00109430,,reached,generated
0x00109450,func_00109450,,unreferenced,generated
0x00109490,func_00109490,,reached,generated
0x00109568,higdma_00109568,higdma.c,unreferenced,generated
0x001095A8,func_001095A8,,reached,generated
0x00109698,func_00109698,,reached,generated
0x00109788,func_00109788,,unreferenced,generated
0x001097F0,func_001097F0,,reached,generated
0x001098F8,func_001098F8,,reached,generated
0x001099D8,func_001099D8,,reached,generated
0x00109AA8,func_00109AA8,,unreferenced,generated
0x00109B78,func_00109B78,,unreferenced,generated
0x00109C48,func_00109C48,,unreferenced,generated
0x00109D48,func_00109D48,,unreferenced,generated
0x00109D50,func_00109D50,,unreferenced,generated
0x00109D58,func_00109D58,,reached,generated
0x00109DA0,func_00109DA0,,reached,generated
0x00109DA8,func_00109DA8,,reached,generated
0x00109DE8,func_00109DE8,,reached,generated
0x00109E30,func_00109E30,,reached,generated
0x00109E58,func_00109E58,,reached,generated
0x00109EA0,func_00109EA0,,reached,generated
